0,8.94e-07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
45,0.150703,0.290775,-0.0851536,0.268407,0.301032,0.000239679,0.405333,-0.111395,0.1501,-0.497916,-0.117276,0.396999
229,0.653572,0.931666,-0.296413,0.838145,0.954885,-0.0594637,1.23921,-0.397881,0.353136,-1.64093,-0.420584,0.745787
374,1.15384,1.21973,-0.40734,1.10257,1.27026,-0.0525539,1.60324,-0.51033,0.465194,-2.15947,-0.584712,0.882802
550,1.65617,1.49592,-0.509305,1.33021,1.55999,-0.0671255,1.96104,-0.594006,0.550976,-2.60662,-0.692524,1.04313
708,2.15857,1.68251,-0.554711,1.50902,1.74866,-0.0684097,2.22164,-0.717512,0.601357,-2.93768,-0.775661,1.12895
863,2.65987,1.83142,-0.614752,1.65977,1.92528,-0.0742635,2.42686,-0.772939,0.66316,-3.20136,-0.851336,1.22389
